Date,BlocksFound
2025-05-01 00:00:00,3
2025-05-02 00:00:00,3
2025-05-03 00:00:00,2
2025-05-04 00:00:00,1
2025-05-05 00:00:00,4
2025-05-06 00:00:00,11
2025-05-07 00:00:00,19
2025-05-08 00:00:00,25
2025-05-09 00:00:00,27
2025-05-10 00:00:00,24
2025-05-11 00:00:00,22
2025-05-12 00:00:00,37
2025-05-13 00:00:00,32
2025-05-14 00:00:00,37
2025-05-15 00:00:00,15
2025-05-16 00:00:00,5
2025-05-17 00:00:00,7
2025-05-18 00:00:00,14
2025-05-19 00:00:00,11
2025-05-20 00:00:00,8
2025-05-21 00:00:00,10
2025-05-22 00:00:00,37
2025-05-23 00:00:00,2
2025-05-24 00:00:00,3
2025-05-25 00:00:00,3
2025-05-28 00:00:00,2
2025-05-29 00:00:00,5
2025-05-30 00:00:00,1
2025-05-31 00:00:00,1
2025-06-01 00:00:00,2
2025-06-02 00:00:00,5
2025-06-05 00:00:00,1
2025-06-09 00:00:00,1
2025-06-10 00:00:00,5
2025-06-11 00:00:00,1
2025-06-12 00:00:00,1
2025-06-13 00:00:00,3
2025-06-14 00:00:00,3
2025-06-15 00:00:00,2
2025-06-16 00:00:00,2
2025-06-17 00:00:00,3
2025-06-18 00:00:00,1
2025-06-19 00:00:00,4
2025-06-20 00:00:00,2
2025-06-21 00:00:00,2
2025-06-22 00:00:00,1
2025-06-23 00:00:00,1
2025-06-24 00:00:00,1
2025-06-25 00:00:00,1
2025-06-26 00:00:00,2
2025-06-27 00:00:00,1
2025-06-28 00:00:00,2
2025-06-30 00:00:00,3
2025-07-01 00:00:00,1
2025-07-02 00:00:00,3
2025-07-04 00:00:00,1
2025-07-05 00:00:00,1
2025-07-06 00:00:00,2
2025-07-07 00:00:00,2
2025-07-08 00:00:00,7
2025-07-09 00:00:00,1
2025-07-10 00:00:00,1
2025-07-11 00:00:00,1
2025-07-14 00:00:00,2
2025-07-16 00:00:00,1
2025-07-17 00:00:00,4
2025-07-18 00:00:00,1
2025-07-20 00:00:00,2
2025-07-21 00:00:00,1
2025-07-22 00:00:00,2
2025-07-23 00:00:00,3
2025-07-24 00:00:00,2
2025-07-25 00:00:00,1
2025-07-26 00:00:00,1
2025-07-27 00:00:00,3
2025-07-28 00:00:00,1
2025-07-30 00:00:00,2
2025-07-31 00:00:00,2
2025-08-02 00:00:00,2
2025-08-04 00:00:00,3
2025-08-05 00:00:00,2
2025-08-06 00:00:00,4
2025-08-07 00:00:00,3
2025-08-08 00:00:00,1
2025-08-09 00:00:00,1
2025-08-10 00:00:00,2
2025-08-11 00:00:00,2
2025-08-12 00:00:00,2
2025-08-13 00:00:00,3
2025-08-14 00:00:00,4
